file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,85,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,10
style.css,86,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,14
style.css,87,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,67
style.css,88,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,53
style.css,89,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,78
style.css,90,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,53
style.css,91,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,92,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,93,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,12
style.css,94,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,49
style.css,95,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,55
style.css,96,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,97,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
style.css,98,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,5
style.css,99,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,35
style.css,100,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,84
style.css,101,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,45
style.css,102,css,d768cd0a,Hana Julia Tjendrawasi,2025-01-16,11:57:09,-08:00,2025-01-16T11:57:09-08:00,0,0
